feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
amihud_12m_rank,0.007935898846256218,0.011380263400753913,0.011758004838928474,0.012414017836995894,0.010212122906204142,0.007529107223997865,0.009393572192322999,0.007311094586115554,0.008163403765295589,0.007721372548804822,0.007887757950437741,0.006810801782984804,0.006473186458532485,0.005533081533713701,0.00426325905131703,0.0050354015794232465,0.005087933884271245
cl_to_ca_rank,0.0077949675748026975,0.021639293517703148,0.00813091968946476,0.008348232249976105,0.0037568077821904383,0.004646486933117186,0.005342897561576971,0.008600814734599466,0.005968562031472608,0.0064901156098267805,0.006705966247964375,0.0082286971497335,0.0063245551566275685,0.007498007938114355,0.008137153363328266,0.007601733759623481,0.00729923747152417
sales_yield_rank,0.0075684602990811495,0.006086568506906651,0.005501925030062421,0.006632034126432927,0.004677496688089773,0.004312335459487086,0.005234911738377726,0.006420679016708162,0.00549485239114636,0.005574712254683654,0.006282432053936199,0.008253264221376028,0.011290212608980651,0.010801651735141452,0.012446521905560044,0.010147047467523306,0.011938719580885949
noa_to_assets_rank,0.007464583740656571,0.00768811082120301,0.009193150226766622,0.010307985823353403,0.007013000992554959,0.008888076537661145,0.008897295964482918,0.008626276446845587,0.008812215773344645,0.008558329704175374,0.008404165746523449,0.007683064224884173,0.005630373015708335,0.005077423571917133,0.005245991270786717,0.004868254363401285,0.004539625366896381
mom_36_12_rank,0.0072520483655783095,0.002634285022078166,0.002810373271623158,0.00779371424146534,0.003356741424969437,0.006386370937498174,0.01185487787152104,0.009130275835921065,0.007411445563067049,0.011122853342669074,0.016095715240143894,0.011422143360425484,0.004409245122050496,0.00516761376828402,0.006250445083044763,0.00465841289791685,0.0055282608665749265
wc_to_assets_rank,0.007111056839047457,0.006974324053144242,0.01092531117375582,0.007729589138384185,0.007668923095765837,0.005856641591330827,0.004706746169068014,0.006516235724440768,0.006835138839494289,0.006954552849574395,0.0062179770201092645,0.006776171837639462,0.009719056634544612,0.007864940696204924,0.007065335999475229,0.0057261471287985664,0.006239817473028842
operating_margin_rank,0.007098907169886617,0.00920907264782375,0.010162233724993582,0.006289178797477066,0.007126061230114195,0.00749575153543878,0.011975573741542008,0.009519347219599163,0.007803943712676378,0.008247393969969876,0.012310538326602314,0.006570587151026784,0.0037545646330750877,0.0029726676265153396,0.0028871623418876657,0.0032084482023679896,0.004049989857075902
roa_variability_3y_rank,0.0064966235438087775,0.0015916412400878925,0.0024498239912983254,0.006818992188860259,0.008245654773480389,0.006692592245989386,0.005130080172950185,0.005752427279249871,0.006132465504340386,0.005820992908416306,0.0070217412327556565,0.007661828741312956,0.007691390008612297,0.008192474302749692,0.008337392771398668,0.00872864998750068,0.0076778293519374945
gp_to_assets_rank,0.006035656956445301,0.007193526052020869,0.007184352561898576,0.005223672270665783,0.003941164465491052,0.004240252398657329,0.006465060213314629,0.006131163274126881,0.007169375037752762,0.005356576259998145,0.007160594968372174,0.0064416083291650396,0.005695099074533158,0.005447165803571488,0.0060368682101920226,0.005932772161986866,0.006951260221378037
tangible_book_to_market_rank,0.005989610271763283,0.011703169263897991,0.009002993383837242,0.0072880362610864575,0.007912050862238106,0.007644708572021039,0.00830865504453694,0.007062502447476224,0.00677031949552666,0.00608511692684196,0.005630858375352548,0.004924730339817528,0.0040466202456001755,0.0026378930498242633,0.002302300128729373,0.002216141815926429,0.0022976681354995943
dollar_volume_3m_rank,0.005818175400645666,0.014844212110580924,0.009771179063868724,0.006681377880230082,0.0057052390491976876,0.005644297862120056,0.005418367670529915,0.006878392617158639,0.006450399669784192,0.004720540843277519,0.004700337154265299,0.004391437214896265,0.0036656991733325403,0.0032854658651134618,0.0029854343589452363,0.004158411489086142,0.0037900143879439734
tangibles_trend_12q_rank,0.005709820033223843,0.005581506872144134,0.00345411177482928,0.0032512847994843642,0.004105886454648806,0.0026511135845983195,0.005371390141340342,0.007472882418934296,0.009111726530825898,0.008125523622223924,0.008548548625603699,0.010095768139295747,0.007033520250653638,0.0047252454307046155,0.003944544816516465,0.0038377190224782496,0.0040463480472997275
tangibles_trend_8q_rank,0.005158092647899129,0.0048600238071585325,0.002830793844905948,0.005004209794220592,0.002666806208538352,0.004877616757646966,0.006384969101737877,0.008680288816055757,0.010159669253845182,0.009695824369825258,0.009947676792909282,0.004407115385849533,0.0030138115526383183,0.0035858451268651003,0.002657486425577679,0.0019524071427856247,0.0018049379858260542
altman_z_rank,0.005131252867923228,0.007127352009056405,0.008523254896052957,0.006085734153813119,0.0060216217396023225,0.004540318689238841,0.0054375940329405865,0.0064477150990266945,0.008633399553409152,0.006069903313565489,0.005106871780121367,0.0029048443594009805,0.002641600800573565,0.003005046976988746,0.003313375038509211,0.0030649501333144032,0.003176463311157816
altman_z_dd_rank,0.005039021426484043,0.005322925493204294,0.006700443607747874,0.008379463467088477,0.008756168445440157,0.0078989358647715,0.005700919054128693,0.005565530570759948,0.005144351561271738,0.004954256336394541,0.005274112741776128,0.002898809000173105,0.004911046946445218,0.0029391473110544114,0.002440144103045151,0.0024429039469497814,0.0012951843734936796
earnings_yield_rank,0.0049336693064412525,0.010482934278594296,0.010333735290164292,0.007421583690514023,0.004585594222851401,0.00291575724163933,0.0020164137337475236,0.003099594401791123,0.0034349327959587303,0.008353788466607554,0.0076689280293367424,0.005514086328354573,0.0036137597596343136,0.0033685428376828653,0.002270758887642037,0.0015210147720892007,0.002337284166452041
log_marketcap_rank,0.004925219839850395,0.004225441629702391,0.003862322746137509,0.006778707386413703,0.0070161596547239045,0.009320470404987317,0.0061651603600224305,0.005499602227235948,0.006172407810496768,0.006133154018382448,0.00577464352139395,0.0029830052352869114,0.003144335448590033,0.00273567486881889,0.0030997966196655937,0.002483887681421908,0.003408747824326594
tangibles_trend_20q_rank,0.004771850556021931,0.011367540621443701,0.01023827990905575,0.005997573440332307,0.0037195451309133534,0.0040304767442874145,0.004428929069729323,0.00544545010987263,0.004962873836172369,0.0033839723681565507,0.003431717316860275,0.0027098924735480747,0.0028944983214099313,0.004015209534030361,0.0032581238408817704,0.0036720154044250996,0.002793510775231982
ebit_to_ev_rank,0.004669046091740906,0.0038893002976578485,0.0050612995918319125,0.0019907010030534122,0.0019885935111823225,0.004794704543097745,0.0047252933553793945,0.0054829449762737025,0.004582854612843967,0.0024448587728090896,0.004727488081020044,0.006454731522357899,0.0070521314971228296,0.00574872528506178,0.0061654387099583305,0.0052333236372000425,0.004362348071004184
tangibles_trend_4q_rank,0.00438019492018587,0.01325673990029518,0.007521271596142618,0.0053326776490796365,0.004332147692719089,0.004664293479085354,0.0046674985064250035,0.0036629772275395076,0.004047064451385003,0.0035003720199015473,0.0036095539990219135,0.002555965263430486,0.002566906299708932,0.0025474456476691637,0.0030761367609058563,0.0024598417532949745,0.002282226476369647
