feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
roe_rank,0.0017427893474732418,0.00031845286947940606,0.00025871567582501365,0.0008526919490118016,0.0017441941069061045,0.0011621343454346629,0.0011446420816591451,0.005610490718406938,0.004803357673590435,0.010215534562557159,0.00013322241722372042,0.00013564663281416753,0.0002505884164230548,0.0004405910676505205,0.0,0.0,0.0008143670425897354
sales_yield_rank,0.001616649575151726,0.0033829482056963634,0.004557633738991824,0.004390068195083516,0.003202549184027616,0.0010070928087498705,0.0025205184255026884,0.0013037509178004752,0.0013418662969291615,0.0008109269408327272,0.0005918793859664755,0.0002106106703575146,0.0001913466466622904,0.001058864411552231,0.00022337515281607308,0.000429158628141384,0.0006438035933174042
dist_52w_high,0.0014103941705512887,0.0019737075481010098,0.002587446208761111,0.0025544306937577677,0.0013306312611538306,0.0023960427106208973,0.000716482301943785,0.0017250196297587364,0.0016301501701593856,0.0022542109527237714,0.0021897827137326025,0.0001764616555819651,0.0007182100518387817,0.0008342947562711263,0.0004619165434375229,0.000718623335596156,0.00029889619538217115
interest_coverage_rank,0.000963245520241612,0.0006479799358844213,0.0004156404435539919,0.00031292751414718805,0.0003869395904645918,0.0008086319445181232,0.0014206717842598362,0.00205554538493227,0.0,0.0026801830737457834,0.0004181178780225141,0.0018051310993885202,0.0014913865957926623,0.0016593932905110227,0.0,0.0,0.001309379788644866
marketcap_to_liabilities_rank,0.0009562747319868843,0.0004002396583008464,0.0007907759293751127,0.001261274319190278,0.0007157113645432504,0.0010189299335212137,0.0005958617475786835,0.0019265541462514563,0.0001483645173890464,0.00012845242054596086,0.0006033179473136397,0.0014682833020092851,0.0007033451015784535,0.0012187921162010542,0.0006230570326107713,0.00020597113478434978,0.0034914650405967478
ncav_to_marketcap_rank,0.0009049249365708184,0.003348038969759363,0.003551851614661562,0.00291527333564878,0.00017792839530878345,0.0004640361827190063,0.0005106738644053319,0.00039978830433151386,0.00017069912265491605,0.0003480730928637769,0.00022002138397614378,0.000636958729150495,0.0,0.0006247213607315543,0.0005781372975283596,0.00017782381489330615,0.00035477351650020243
fcf_yield_rank,0.0009018702665317533,0.0020937315907043207,0.0034765627573351966,0.000732238273751258,0.0015299312992575387,0.000276456657719049,0.00044107647102112287,0.0,0.0005435177711311903,0.0,0.0,0.0004337813560405692,0.0009599353924653781,0.0012149448145324963,0.000802700437015692,0.0004197323361734713,0.0015053151073607678
asset_growth_1y_rank,0.0007409644464167773,0.002519610509771073,0.0030258728918960342,0.002241959169682228,0.000542866375745955,0.0,0.00029148038257328994,0.00010453599528068012,0.0,0.00029786774487925853,0.00014282772733156967,0.0009436488973994331,0.0,0.0007098604139084909,0.00029162782731443796,0.0007432732068859882,0.0
roa_variability_3y_rank,0.0007070609271563551,0.0,0.0,0.0,0.0010237460911767158,0.0004183797454790498,0.0,0.0,0.0,0.0022641883987825464,0.001133995522595955,0.0,0.0005685843393960456,0.001008482088730484,0.0,0.001989868401175042,0.0029057302471658434
div_history_years_10y,0.0006826855805696579,0.0,0.0,0.0,0.0,0.00020790829990272245,0.0,0.0,0.0001642147617747017,0.0010965550116934725,0.0013288495659903666,0.0007287643313793797,0.00025564170384197085,0.0014376432531077597,0.002159604808741592,0.002121944251541893,0.001421843301140668
gross_margin_rank,0.0005846972117531157,0.0019667361952832043,0.002508968653328157,0.0014376938511503547,0.0006615161814461754,0.0006309386790502549,0.00028181568140018897,0.00018105357614986033,0.0004422688972983368,0.00030042271028362717,0.0,0.0004005789888194264,9.306892016364435e-05,0.00012812627707707848,0.00015232629215346718,0.0,0.00016964048444607566
dollar_volume_3m,0.000549976059761333,0.0004238056575663028,0.0007167053786403852,0.0003515046074627137,6.629789274206897e-05,0.0001422695172203248,0.00023308050361664484,0.0005192274790842614,0.000649862346562795,0.00034981333366663353,0.0,0.00027203564032444983,0.000895055575792102,0.0010082919540554901,0.00027960416795193505,0.0017934739414908727,0.001098588960004348
tangibles_trend_8q,0.000543943075243032,0.003430315579648135,0.0008017415962915194,0.0020231134306381167,0.0,0.0,0.0009640186914173894,0.0007446076584558576,0.00021178856572424864,0.0,5.7998573490704804e-05,0.00023678791234939535,0.0,0.0002327171958731456,0.0,0.0,0.0
ocf_positive_frac_8q,0.0004954320221699185,0.0015326605176019259,0.0,0.0,0.0003415802186271663,0.00030586980089328453,0.001269785907780577,0.0012322613726340572,0.00044933686009146907,0.000128798577335495,0.0,0.0007546802215484561,0.00022820225951025096,0.0,0.00038516765129659587,0.00040809875289951993,0.0008904702144998986
altman_z_dd_rank,0.00035351118640692796,0.0,0.000812201956325647,0.0,0.0,0.0,0.00017163129570344033,0.0,0.0010139655123349663,0.0009293262380865913,0.0008459396107811733,0.0002446061112040015,0.0003674700763017761,0.00011343824641896315,0.0004556734231380566,0.0,0.0007019265122162313
accruals_to_assets_rank,0.0003341657935341478,0.00020283947737283537,0.0,0.0004324233982321011,0.0004922209405846049,0.0,0.0,0.00010660073609700386,0.0,0.0,0.00018074839481369405,0.0008305962037737455,0.0,0.00061797516339527,0.0010567150460524582,0.0006627886490903003,0.0007637446871343523
zmijewski_rank,0.00032512044784231367,0.0008120629073108803,0.0008232620229764988,0.0002424647228915011,0.0,0.0,0.0,0.0002595547239975939,0.001199453843783039,0.0,0.0007426260822190081,0.0,0.0,0.0,0.0003388838593815953,0.0007836190029169022,0.0
asset_turnover_rank,0.00031784360489986544,0.0,0.0,0.00033635792139543913,0.0,0.0,0.0004582104325406822,0.0,0.00039879014877853533,0.0,0.0013626085059139745,0.0,0.0005895241380269343,0.00045528282483431207,0.0007700111844528594,0.0001929792438803025,0.000521733278574808
log_marketcap,0.00031723689973068507,0.0004531448409202818,0.0005117718920629878,0.0,0.0,0.0,0.00015977652187608175,0.000124912979833942,0.0,0.0,0.0,0.00036996575034935333,0.00047805698285080213,0.0004409099154369449,0.00028397938137165085,0.0008211712440054764,0.0014321008869834404
epsdil_growth_1y_rank,0.00030189939785451816,0.0006036615073811225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003756923735252034,0.0002824657188146847,0.0006549216276824102,0.0,0.00043655026887599174,0.00036425355908646645,0.0007633789986923454,0.0013494663116140665
roc_greenblatt_rank,0.00028958437020043764,0.0,0.00022064493899921786,0.0,0.001340084082160065,0.000563393606450671,0.0008190901299769887,0.0003631079402423916,0.0,0.0,7.776747545810055e-05,0.00037992502482293226,0.0,0.0,0.0,0.00028054196930966697,0.0005887947557869685
revenue_growth_variability_3y_rank,0.00027916867586404197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008000035191567954,0.0009760735775086495,0.0026906217171592268
mohanram_g7_rank,0.0002673593801303536,0.0,0.0,0.0,0.0,0.0003793071561055964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002475859713305975,0.0007352336286092401,0.0015455079872408858,0.0013701153387993383
tangibles_trend_12q,0.00023177055220547927,0.0005481257863122059,0.0010682588132927742,0.0007814512326291424,0.0,0.0,0.0,0.00046965857936998213,0.0004800144259689643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036081999771459954
ocf_positive_frac_20q,0.00021630388254153203,0.0,0.0,0.0,0.0,0.0003430727974075035,0.0,0.0,0.0004340745017925746,0.0,0.0,0.0007138700606938893,0.0006783301589532632,0.0005212464124011901,0.00037656557985085785,0.00039370260956523396,0.0
ocf_positive_frac_12q,0.0001962535087872996,0.0003527058086670251,0.0006632271190776112,0.0003539009468860946,0.0004178291934963114,0.00022135576390044598,0.00031320384661840853,0.0,0.0,0.0,0.0,0.0,0.0,9.696205367334146e-05,0.000443599398092248,0.0,0.00027727201018530807
ev_to_marketcap_rank,0.00019538607191119082,0.00027578045316815496,6.539813621610712e-05,0.000294949728517794,0.0004141339021551749,0.0006412841017742579,0.0,0.00013870360504822103,0.00013274853793079395,0.00015390571638003849,0.0,5.190233102522897e-05,0.0,0.0,0.0,0.00027113756786555684,0.000686233070497725
cash_to_assets_rank,0.00019052255374981975,0.00034543569689498064,0.00017918391956088102,0.00020276952196860443,0.0009661338827945139,0.0001594963039947952,0.0,0.00045045756559092596,0.0,0.0002897246704053631,9.680456047213549e-05,0.0,0.00024411336576410876,0.0,0.0001142413725508077,0.0,0.0
piotroski_f_rank,0.00016990492784394622,0.0,0.0,0.00023521459132042947,0.00043507142648380144,0.00022453291560348813,0.0005328850025164054,0.0,0.00011582657528943924,0.0,0.00010857960580282345,0.0,0.0,0.0,0.0,0.0010663687284867525,0.0
quick_ratio_rank,0.00015547901973206706,5.3501501007782124e-05,0.0,0.0007919760947597655,0.0,0.0,0.00025507394880182994,0.0,0.0,0.0,0.0,0.0,0.00013686399279384798,0.00011866328466317042,0.0005880568787055053,0.00012677078442627408,0.00041675783055489767
net_debt_to_ebitda_rank,0.00014805700719935038,0.0006900339769297747,0.0,0.0007939730479846504,0.00017983230829061458,0.00030124789440449473,0.0,0.0,0.0,0.0,4.559611261586262e-05,0.0,0.0,0.0,0.0,0.0,0.00035822877496420916
revenue_up_frac_20q,0.00014761820544724195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023867854274272599,0.0004206657005518911,0.0,0.0,0.0007430611715614072,0.0,0.0002700863112597631,0.00020396001294375506,0.0004854395480963288
